task,model,proxy,target,rmse_significance,r2_significance,pearson_significance,spearman_significance,rmse_diff,r2_diff,pearson_diff,spearman_diff
auction_verification,lr,Lpls,L2s,0,-1,-1,1,722939.4527836144,-64795.76421464183,-0.07011637870499016,0.16321767304072587
auction_verification,lr,Lpls,L2,0,-1,-1,-1,1394582.923459623,-106164.74976598249,-0.19003118423544668,-0.4549618000000987
auction_verification,lr,Lpls,Lpl,1,-1,-1,-1,0.11612933832529354,-25.538033571794642,-0.46840223579483437,-0.5263667431986732
auction_verification,lr,L1,L2,0,-1,1,0,383397.6925436668,-98.59867907209708,0.11084972979515706,-0.002069162303052874
auction_verification,lr,L1,Lpl,1,1,-1,-1,0.08070606263387942,0.27394571379013255,-0.051568187528393095,-0.07309103759170144
auction_verification,lr,L2,L1,1,-1,-1,-1,637.5604511286367,-1.7328429600341955,-0.062420022822937404,-0.1726472112044305
auction_verification,lr,L2,Lpl,1,-1,-1,-1,0.33680632558652934,-8.206636363899994,-0.26855151433208896,-0.19760117902461266
auction_verification,lr,Lpl,L1,1,-1,1,1,106.38000091270283,-17.93655404975656,0.030754222032823353,0.024897249335983584
auction_verification,lr,Lpl,L2,0,-1,1,1,1107832.51490945,-1520.8127746424382,0.0984214924529625,0.07075400570654555
auction_verification,xgboost,L1s,L1,0,0,0,-1,4.22663390260891,0.09855753230855269,-0.011319272650993972,-0.11687280701131308
auction_verification,xgboost,L1s,L2s,-1,1,1,1,-4158127.8808173724,0.6437611919118145,0.17152598907551875,0.3465133313191159
auction_verification,xgboost,L1s,L2,0,0,0,0,-1018905.2174758408,0.030090779267330114,0.04297908904388259,0.007919328713168361
auction_verification,xgboost,L1s,Lpls,1,0,-1,-1,0.048769694580445944,0.050611620686054626,-0.0735988029904131,-0.08217535283334065
auction_verification,xgboost,L1s,Lpl,1,-1,-1,-1,0.05189404827533356,-0.1734551963624581,-0.09487669797545162,-0.15577071035045298
auction_verification,xgboost,L2s,L1s,1,-1,-1,-1,796.2048483256908,-0.5762287679436451,-0.3083001120955834,-0.34647132746119136
